feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
SS1323	-3.2623250051464	NA	-2.71784253416664	NA	NA	-0.459508245812605	-8.22891968268351	NA	-6.24185444900376	NA
SS2323	-3.84790183605577	NA	-1.98360195012467	NA	NA	-0.628754758410492	-7.69582312924935	NA	-5.25941907234438	-15.0885893047273
SV1318	-3.80685799935512	-7.60896480239454	-1.93938023649337	NA	NA	-0.736389304696185	-4.22912572857848	-12.0911057682631	-6.89850740792812	-10.9003502715219
SV2318	-2.75826606341003	-7.09315234925733	-3.00082069413833	NA	NA	-0.510570778291974	-6.33589134543925	-14.439715328725	-7.53018221377809	-12.5539240666548
TJ1356	-2.83986974507354	-6.47763023303003	-4.13558575620832	NA	-6.82893769035538	-0.374947712735238	-8.41330985005723	NA	-6.76150369645931	-12.8860829228509
TJ2356	-3.94035941357122	-8.04160880247398	-1.15914939018425	-9.61687247647633	-9.78920662316922	-1.12441536295513	-5.58205278080546	NA	-9.78169489041441	-12.3823619127769
TK1342	-3.87291766111572	-11.0575097989915	-2.96770997059851	-14.3800529845046	-5.13375044990104	-0.407449535209781	-5.86716304024158	-10.872765484337	-8.69489701471639	-10.1454627693584
TK2342	-3.94165466256222	-10.8711422534689	-3.0499461466018	-11.1088378443015	-4.97052985745032	-0.458920778435921	-4.38060481883536	-8.0756483515384	-10.3058591491816	-9.63442244031565
TL1338	-3.2728094150188	-7.62967274910143	-4.20971949519396	NA	NA	-0.274514207665049	-7.96852844541596	-10.9253832021863	-7.40052875984594	-11.7546478904883
TL2338	-2.98036881085591	-7.27291034438951	-3.27371101014674	NA	NA	-0.41934329510441	-7.83659976596045	-13.0258802879887	-6.56840527447441	-10.6406277341119
TS1358	-4.79563802269543	-8.44634215941676	-1.22644125269646	-11.5457053030654	-7.55682705415225	-1.01259327384204	-5.24708205288363	-8.51746389073814	-10.3020289366615	-8.58438928725795
TS2358	-4.61548066601938	-7.03837995454447	-1.90137853504913	-8.43037738916677	-7.77608534856246	-0.598564608045192	-6.72208387608871	-11.4820063290937	-8.25817028455245	-8.40453061075888
VK1336	-4.26598458855549	-5.2246183421314	-2.54704348005208	-12.4820061848241	-6.18374172110801	-0.48422518682924	-6.01076811833813	-15.4142918662277	-8.02764806557436	-8.96773222892065
VK2336	-4.84123723800245	-8.65213238567194	-1.53190749303129	-7.32098228576563	-6.78261569305403	-0.855427333425747	-4.53716645544584	-7.96293806050225	-11.0310039005041	-9.68542208322729
