feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
HT2321	0.0774279387139694	0.0164747082373541	0.116435858217929	1.72000086000043e-05	0.0106900053450027	0.753968176984088	0.0115257057628529	0.00296040148020074	0.0101073050536525	0.000392700196350098
IM2354	0.0989973604010558	0.000412599834960066	0.455761517695393	NA	NA	0.43521922591231	0.00953959618416152	NA	NA	6.96999721200111e-05
JA2369	0.128860525772105	0.000304800060960013	0.0772146154429232	0.000987300197460041	NA	0.784383656876731	0.00396440079288016	NA	0.00426140085228018	2.3300004660001e-05
JK2312	0.0438435693095015	NA	0.560908807363835	NA	NA	0.378400535119625	0.0168470882070383	NA	NA	NA
KK2350	0.0590120236048095	NA	0.218322287328915	NA	NA	0.643488857395543	0.0143711057484423	NA	0.0647050258820104	0.000100700040280016
KM2329	0.168260716826072	NA	0.0511873051187305	NA	NA	0.778232577823258	0.00190370019037002	NA	9.34000093400009e-05	0.000322300032230003
LT2311	0.0515016154504846	NA	0.177266153179846	NA	NA	0.762612228783669	0.0078235023470507	NA	0.000796500238950072	NA
MK2305	0.0756212378106189	0.00219290109645055	0.304807152403576	0.000277700138850069	NA	0.552074076037038	0.00352480176240088	NA	0.0615021307510654	NA
MO2363	0.1059041	8.85e-05	0.1702627	0.0079061	0.0078417	0.6970445	0.0084868	7.45e-05	0.0020723	0.0003188
MR2322	0.0628143937185606	0.00472869952713005	0.149774785022521	NA	NA	0.781733721826628	0.000646199935380006	NA	NA	0.000302199969780003
MS2370	0.162010883798912	0.000902299909770009	0.207205379279462	9.4699990530001e-05	NA	0.606466739353326	0.0209765979023402	8.99999910000009e-07	NA	0.00234249976575002
NK2335	0.0862784827443034	0.00606709878658024	0.106838378632324	NA	NA	0.790381041923792	0.00860169827966034	NA	0.00183329963334007	NA
PH2339	0.0548721835383449	0.000518399844480047	0.120722663783201	NA	0.0188600943419717	0.792613162216051	0.0103036969088909	0.000156499953050014	8.50999744700077e-05	0.00186819943954017
PH2359	0.0732889486977359	NA	0.288307998184401	0.000768899461770377	0.00973259318718477	0.594804183637071	0.0138056903360168	0.00474429667899233	0.014286889999177	0.000260499817650128
PK2313	0.0628277062827706	NA	0.214025521402552	NA	NA	0.706763170676317	0.0153358015335802	NA	NA	0.00104780010478001
PT2325	0.0633238379943028	3.30000198000119e-05	0.342116305269783	7.79000467400281e-05	0.016552509931506	0.544758626855176	0.0135637081382249	0.00200370120222072	0.0175704105422463	NA
RK2372	0.0402291040229104	0.00660370066037007	0.0838736083873608	0.000456400045640005	0.0120701012070101	0.843301784330178	0.00651950065195006	0.00144460014446001	0.00457460045746005	0.000926600092660009
RS2366	0.0347518104255431	NA	0.0928367278510184	NA	NA	0.868732460619738	0.000608300182490055	NA	0.00293600088080027	0.000134700040410012
SH2365	0.12581645032658	NA	0.133748753499501	NA	NA	0.736905794762318	0.00352900141160057	NA	NA	NA
SK2377	0.119224547689819	0.00253360101344041	0.18515617406247	0.000943800377520151	NA	0.672245468898187	0.0168156067262427	0.00214710085884034	NA	0.00093370037348015
SN2320	0.0475310714813571	NA	0.156707805975316	NA	NA	0.792541024475385	0.00263029842182095	NA	0.000366799779920132	0.00022299986620008
SS2323	0.0694490208347062	NA	0.252857775857333	NA	NA	0.646734394020318	0.00482310144693043	NA	0.0261070078321023	2.87000086100026e-05
SV2318	0.147801614780161	0.00732400073240007	0.124928912492891	NA	NA	0.701944670194467	0.0123796012379601	4.50000045000004e-05	0.00540990054099005	0.000166300016630002
TS2358	0.0407945244767146	0.00760740456444273	0.267687460612476	0.00289870173922104	0.00456210273726164	0.660410696246418	0.0094722056833234	0.000349600209760126	0.00326620195972117	0.00295110177066106
VK2336	0.0348852930229414	0.0024856995028601	0.345819830836034	0.00625409874918025	0.00908299818340037	0.552701589459682	0.0430701913859617	0.00400789919842016	0.000477899904420019	0.00121449975710005
